artist.id,artist.fc,birth_lat,birth_lon,birth_country,birth_city,death_lat,death_lon,death_country,death_city
8155,Joseph Grigely,42.0484659,-72.5700110789613,United States of America,Longmeadow,,,,
1416,R.B. Kitaj,41.4361644,-81.3865012,United States of America,Chagrin Falls,,,,
184,Mark Fisher,42.3604823,-71.0595678,United States of America,Boston,,,,
178,Joseph Farquharson,55.9483399,-3.1932723,United Kingdom,City of Edinburgh,55.9483399,-3.1932723,United Kingdom,City of Edinburgh
2761,Ceal Floyer,24.8741557,67.031789,‏پاکستان‎,کراچي,,,,
13957,Igor Grubic,45.8131545,15.9770298,Hrvatska,Zagreb,,,,
1706,Hermann Nitsch,48.2084671,16.3730908,Österreich,Wien,,,,
464,Alexander Runciman,55.9483399,-3.1932723,United Kingdom,City of Edinburgh,55.9483399,-3.1932723,United Kingdom,City of Edinburgh
1357,Tess Jaray,48.2084671,16.3730908,Österreich,Wien,,,,
11777,Florian Pumhösl,48.2084671,16.3730908,Österreich,Wien,,,,
1549,Donald Maclaren,51.4989948,-0.1991229,United Kingdom,,,,,
2401,Reinhard Mucha,51.2235376,6.7637565,Deutschland,Düsseldorf,,,,
5293,Lee Friedlander,46.9753708,-123.8157218,United States of America,Aberdeen,,,,
2669,Tracey Moffatt,-27.4689682,153.0234991,Australia,Brisbane,,,,
1225,Francis Gruber,,,,,46.603354,1.8883335,France,
1172,Harold Gilman,51.083333,-3,United Kingdom,,51.5072759,-0.1276597,United Kingdom,London
1154,Margaret Gere,52.333333,-1.583333,United Kingdom,,,,,
632,Afro (Afro Basaldella),46.0650933,13.2376674,Italia,Udine,47.3685586,8.5404434,"Schweiz, Suisse, Svizzera, Svizra",Zürich
1784,Serge Poliakoff,55.4792046,37.3273304,Российская Федерация,,48.8565056,2.3521334,,Paris
8402,Marcel Mariën,51.2212016,4.3996325,België,Antwerpen,50.84340935,4.36748762309029,België,Ville de Bruxelles - Stad Brussel
1418,Yves Klein,43.7009358,7.2683912,,Nice,48.8565056,2.3521334,,Paris
1951,Bernard Slawik,52.0977181,19.0258159,Polska,,-37.8142176,144.9631608,Australia,Melbourne
8577,Catherine Sullivan,34.0536781,-118.2427025,United States of America,L.A.,,,,
4823,Rudolf Schwarzkogler,48.2084671,16.3730908,Österreich,Wien,,,,
1938,Cindy Sherman,40.805378,-74.2037566,United States of America,Glen Ridge,,,,
529,Marcus Stone,51.5072759,-0.1276597,United Kingdom,London,51.5072759,-0.1276597,United Kingdom,London
