artist.id,artist.fc,artist.gender,artist.birthDate,artist.deathDate,movement.era.id,movement.era.name,movement.id,movement.name
2103,Paule Vézelay,Female,1892,1984,8,20th century 1900-1945,16667,Abstraction-Création
2103,Paule Vézelay,Female,1892,1984,8,20th century 1900-1945,320,Surrealism
570,Antonio Verrio,Male,1639,1707,289,16th and 17th century,398,Baroque
565,Sir Anthony Van Dyck,Male,1599,1641,289,16th and 17th century,400,Court
565,Sir Anthony Van Dyck,Male,1599,1641,289,16th and 17th century,398,Baroque
565,Sir Anthony Van Dyck,Male,1599,1641,289,16th and 17th century,406,"Netherlands-trained, working in Britain"
2094,Georges Vantongerloo,Male,1886,1965,8,20th century 1900-1945,1686,De Stijl
2094,Georges Vantongerloo,Male,1886,1965,8,20th century 1900-1945,16667,Abstraction-Création
2094,Georges Vantongerloo,Male,1886,1965,8,20th century 1900-1945,6277,Neo-Plasticism
567,Paul Van Somer,Male,1577,1621,289,16th and 17th century,400,Court
567,Paul Van Somer,Male,1577,1621,289,16th and 17th century,406,"Netherlands-trained, working in Britain"
2096,Keith Vaughan,Male,1912,1977,8,20th century 1900-1945,312,Neo-Romanticism
569,John Varley,Male,1778,1842,290,18th century,345,Picturesque
1518,Jacques Lipchitz,Male,1891,1973,8,20th century 1900-1945,1664,Purism
331,Henry Herbert La Thangue,Male,1859,1929,350,19th century,365,Rural Naturalism
331,Henry Herbert La Thangue,Male,1859,1929,350,19th century,6196,British Impressionism
331,Henry Herbert La Thangue,Male,1859,1929,350,19th century,8064,Victorian/Genre
1467,Peter Lanyon,Male,1918,1964,8,20th century 1900-1945,298,Constructivism
347,George Dunlop Leslie,Male,1835,1921,350,19th century,366,St John's Wood Clique
1494,Julio Le Parc,Male,1928,,415,20th century post-1945,435,Optical Art
351,John Linnell,Male,1792,1882,290,18th century,345,Picturesque
351,John Linnell,Male,1792,1882,350,19th century,368,Shoreham / The Ancients
1504,Sol LeWitt,Male,1928,2007,415,20th century post-1945,430,Minimalism
342,"Frederic, Lord Leighton",Male,1830,1896,350,19th century,351,Aesthetic Movement
1502,Wyndham Lewis,Male,1882,1957,8,20th century 1900-1945,322,Vorticism
2643,Sarah Lucas,Female,1962,,415,20th century post-1945,16666,Abject art
2643,Sarah Lucas,Female,1962,,415,20th century post-1945,12081,Feminist Art
343,Sir Peter Lely,Male,1618,1680,289,16th and 17th century,413,Later Stuart
343,Sir Peter Lely,Male,1618,1680,289,16th and 17th century,398,Baroque
343,Sir Peter Lely,Male,1618,1680,289,16th and 17th century,399,Civil War and Commonwealth
343,Sir Peter Lely,Male,1618,1680,289,16th and 17th century,406,"Netherlands-trained, working in Britain"
343,Sir Peter Lely,Male,1618,1680,289,16th and 17th century,411,Restoration
1470,John Latham,Male,1921,2006,415,20th century post-1945,421,Conceptual Art
1525,Richard Long,Male,1945,,415,20th century post-1945,429,Land Art
1473,Henri Laurens,Male,1885,1954,8,20th century 1900-1945,1685,Return to Order
1036,Marcel Duchamp,Male,1887,1968,8,20th century 1900-1945,300,Dada
145,Philip James De Loutherbourg,Male,1740,1812,290,18th century,345,Picturesque
995,Gunter Demnig,Male,1947,,415,20th century post-1945,421,Conceptual Art
995,Gunter Demnig,Male,1947,,415,20th century post-1945,436,Performance Art
902,Giorgio de Chirico,Male,1888,1978,8,20th century 1900-1945,320,Surrealism
902,Giorgio de Chirico,Male,1888,1978,8,20th century 1900-1945,12734,Metaphysical Art
998,André Derain,Male,1880,1954,8,20th century 1900-1945,306,Fauvism
998,André Derain,Male,1880,1954,8,20th century 1900-1945,1685,Return to Order
2292,Michael Dahl,Male,1659,1743,289,16th and 17th century,413,Later Stuart
153,William Dobson,Male,1611,1646,289,16th and 17th century,399,Civil War and Commonwealth
997,Robyn Denny,Male,1930,,415,20th century post-1945,442,Situation
1385,Stanislawa De Karlowska,Female,1876,1952,8,20th century 1900-1945,297,Camden Town Group
1035,Jean Dubuffet,Male,1901,1985,415,20th century post-1945,8454,Art Informel
1026,Gianni Dova,Male,1925,1991,415,20th century post-1945,4156,Arte Nucleare
