artist.id	artist.fc	movement.era.id	movement.era.name	movement.id	movement.name
622	Ivor Abrahams	8	20th century 1900-1945	320	Surrealism
2606	Absalon	415	20th century post-1945	430	Minimalism
623	Vito Acconci	415	20th century post-1945	421	Conceptual Art
623	Vito Acconci	415	20th century post-1945	436	Performance Art
624	Roger Ackling	415	20th century post-1945	421	Conceptual Art
2411	Robert Adam	290	18th century	345	Picturesque
2411	Robert Adam	350	19th century	364	Romanticism
628	Robert Adams	415	20th century post-1945	424	Geometry of Fear
628	Robert Adams	415	20th century post-1945	419	British Constructivism
633	Eileen Agar	8	20th century 1900-1945	1688	British Surrealism
636	Josef Albers	415	20th century post-1945	439	Post Painterly Abstraction
636	Josef Albers	8	20th century 1900-1945	294	Bauhaus
639	Pierre Alechinsky	415	20th century post-1945	8454	Art Informel
2657	Darren Almond	415	20th century post-1945	11857	Young British Artists (YBA)
4427	Francis Alÿs	415	20th century post-1945	421	Conceptual Art
8	Henry Anderton	289	16th and 17th century	399	Civil War and Commonwealth
648	Carl Andre	415	20th century post-1945	421	Conceptual Art
648	Carl Andre	415	20th century post-1945	430	Minimalism
649	Michael Andrews	415	20th century post-1945	1666	School of London
9	Peter Angellis	290	18th century	340	Conversation Piece
650	David Annesley	415	20th century post-1945	433	New Generation Sculpture
11604	Eleanor Antin	415	20th century post-1945	421	Conceptual Art
654	Karel Appel	415	20th century post-1945	420	Cobra
659	Edward Ardizzone	8	20th century 1900-1945	10525	British War Art
662	Arman (Armand Fernandez)	415	20th century post-1945	434	Nouveau Réalisme
664	Kenneth Armitage	415	20th century post-1945	424	Geometry of Fear
665	John Armstrong	8	20th century 1900-1945	10525	British War Art
665	John Armstrong	8	20th century 1900-1945	1688	British Surrealism
666	Keith Arnatt	415	20th century post-1945	429	Land Art
666	Keith Arnatt	415	20th century post-1945	421	Conceptual Art
666	Keith Arnatt	415	20th century post-1945	436	Performance Art
667	Jean Arp (Hans Arp)	8	20th century 1900-1945	300	Dada
667	Jean Arp (Hans Arp)	8	20th century 1900-1945	16667	Abstraction-Création
667	Jean Arp (Hans Arp)	8	20th century 1900-1945	320	Surrealism
2202	Art & Language (Michael Baldwin, born 1945; Mel Ramsden, born 1944)	415	20th century post-1945	421	Conceptual Art
668	Art & Language (Terry Atkinson, born 1939; Michael Baldwin, born 1945)	415	20th century post-1945	421	Conceptual Art
669	Richard Artschwager	415	20th century post-1945	430	Minimalism
669	Richard Artschwager	415	20th century post-1945	437	Pop Art
672	Lawrence Atkinson	8	20th century 1900-1945	322	Vorticism
675	Arnold Auerbach	8	20th century 1900-1945	322	Vorticism
676	Frank Auerbach	415	20th century post-1945	1666	School of London
677	Robert Austin	8	20th century 1900-1945	10525	British War Art
2714	François Antoine Aviline	290	18th century	343	Modern Moral Subject
680	Gillian Ayres OBE	415	20th century post-1945	443	Tachisme
681	Michael Ayrton	8	20th century 1900-1945	312	Neo-Romanticism
682	Francis Bacon	415	20th century post-1945	1666	School of London
2370	Sir Nathaniel Bacon	289	16th and 17th century	412	Early Stuart
684	Jo Baer	415	20th century post-1945	430	Minimalism
686	Enrico Baj	415	20th century post-1945	4156	Arte Nucleare
688	Giacomo Balla	8	20th century 1900-1945	307	Futurism
2687	Fiona Banner	415	20th century post-1945	11857	Young British Artists (YBA)
20	Francis Barlow	289	16th and 17th century	413	Later Stuart
20	Francis Barlow	289	16th and 17th century	411	Restoration
2362	Matthew Barney	415	20th century post-1945	436	Performance Art
697	Wilhelmina Barns-Graham	415	20th century post-1945	441	St Ives School
23	Hugh Barron	290	18th century	340	Conversation Piece
24	James Barry	290	18th century	344	Neo-Classicism
24	James Barry	290	18th century	6210	Grand Manner
699	Georg Baselitz	415	20th century post-1945	431	Neo-Expressionism
699	Georg Baselitz	415	20th century post-1945	432	Neue Wilden
26	Harry Bates	350	19th century	361	New Sculpture
703	André Bauchant	8	20th century 1900-1945	1690	Naive
706	Lothar Baumgarten	415	20th century post-1945	422	Environmental Art
706	Lothar Baumgarten	415	20th century post-1945	421	Conceptual Art
707	Edward Bawden	8	20th century 1900-1945	10525	British War Art
714	William Baziotes	415	20th century post-1945	416	Abstract Expressionism
2306	Mary Beale	289	16th and 17th century	413	Later Stuart
716	Aubrey Beardsley	350	19th century	16649	Symbolism
716	Aubrey Beardsley	350	19th century	16650	Decadence
716	Aubrey Beardsley	350	19th century	16670	Art Nouveau
716	Aubrey Beardsley	350	19th century	16651	Fin de Siècle
