artist.id,artist.name,artist.gender,artist.date,titles
0,Edwin Austin Abbey,Male,1852–1911,Illustration to 'Sally in our Alley'	Illustration to 'She Stoops to Conquer'	Illustration to 'She Stoops to Conquer'	Illustration to 'Judith Shakespeare'	The Letter	Illustration to 'The Leather Bottel'
1,Lemuel Francis Abbott,Male,1760–1803,"Portrait of the Engraver Francesco Bartolozzi	Henry Byne, of Carshalton"
2,Jacques Laurent Agasse,Male,1767–1849,Two Hunters with a Groom	Lord Rivers's Groom Leading a Chestnut Hunter towards a Coursing Party in Hampshire
3,Henry Thomas Alken,Male,1785–1851,A Hunting Scene	The Belvoir Hunt: Full Cry	The Belvoir Hunt: The Meet	The Belvoir Hunt: Jumping into and out of a Lane	The Belvoir Hunt: The Death
4,Sir William Allan,Male,1782–1850,Tartar Robbers Dividing Spoil
5,Joseph William Allen,Male,1803–1852,A Landscape
6,Sir Lawrence Alma-Tadema,Male,1836–1912,Sunday Morning	A Foregone Conclusion	A Priestess of Apollo	A Silent Greeting	A Favourite Custom
7,Giacomo Amiconi,Male,1682–1752,Mercury About to Slay Argus	Portrait of a Man
8,Henry Anderton,Male,c.1630–1665,Mountain Landscape with Dancing Shepherd
9,Peter Angellis,Male,1685–1734,Conversation Piece
10,Richard Ansdell,Male,1815–1885,A Ploughing Match
11,Edward Armitage,Male,1817–1896,The Remorse of Judas
12,Henry Hugh Armstead,Male,1828–1905,Remorse	Hero and Leander
13,George Arnald,Male,1763–1841,View on the Ouse at York
14,Samuel Atkins,Male,active 1787–1808,"Shakespeare's Cliff, Dover"
15,James Aumonier,Male,1832–1911,Sheep-Washing in Sussex	The Black Mountains
16,Edward Hodges Baily,Male,1788–1867,George Canning (after Joseph Nollekens)	The First Duke of Wellington (after Joseph Nollekens)
18,James Barenger,Male,1780–1831,"Jonathan Griffin, Huntsman to the Earl of Derby's Staghounds"
19,Thomas Barker of Bath,Male,1769–1847,"Landscape	Landscape with Figures and Sheep	Getting in Clover: Noon	The Woodman and his Dog in a Storm	Landscape, near Bath"
20,Francis Barlow,Male,?1626–1704,"Monkeys and Dogs Playing	A Roller, Two Peregrine Falcons and a Long-Eared Owl with her Young	Hawks and Owls	Stags	Herons	Woodcocks	Pheasants	Swans	Peacocks	Ducks	Turkeys	Small Birds, including Pheasants, a Jay and a Swallow	Partridges	Grebe and Gannets	Cock, Hen and Sparrows"
21,George Barret Senior,Male,1728 or 32–1784,"Broodmares and Colts in a Landscape	River Scene with Watermill, Figures and Cows"
22,George Barret Junior,Male,1767–1842,"Coast Scene, Isle of Wight	Storm Scene, Isle of Wight	Landscape with a Bridge	Composition: Sunset"
23,Hugh Barron,Male,1747–1791,The Children of George Bond of Ditchleys
24,James Barry,Male,1741–1806,"Self-Portrait, Three Quarters to Left	The Distribution of Premiums in the Society of Arts	A Grecian Harvest Home	Satan, Sin and Death	The Temptation of Adam	Scientists and Philosophers	Sacra Christi Familia	The Glorious Sextumvirate	Jupiter and Juno on Mount Ida	King George and Queen Charlotte	Philoctetes in the Island of Lemnos	The Distribution of Premiums in the Society of Arts	The Phoenix or the Resurrection of Freedom	The Thames, or the Triumph of Navigation	Orpheus	Lord Baltimore and the Group of Legislators	The Birth of Venus	Reserved Knowledge	Divine Justice	William Pitt, Earl of Chatham	Study of a Nude Recumbent Woman	King Lear Weeping over the Dead Body of Cordelia	The Judgment of Paris. Verso: Study for the Same Subject	Study for 'Philoctetes on the Island of Lemnos'"
25,James Bateman,Male,1815–1849,Highland Scene
26,Harry Bates,Male,1850–1899,Hounds in Leash
27,Thomas Beach,Male,1738–1806,Portrait of a Gentleman in a Green Robe
28,George Beare,Male,active 1743–1749,"Portrait of a Gentleman, possibly Hugh Marriott"
29,"Sir George Howland Beaumont, Bt",Male,1753–1827,"[title not known]	[title not known]	[title not known]	[title not known]	[title not known]	[title not known]	[title not known]	[title not known]	[title not known]	[title not known]	[title not known]	[title not known]	[title not known]	[title not known]	[title not known]	[title not known]	[title not known]	[title not known]	[title not known]	[title not known]	[title not known]	[title not known]	[title not known]	[title not known] Verso: ?Architectural Sketch	[title not known]	[title not known]	[title not known]	[title not known]	[title not known]	[title not known]	[title not known]	[title not known]	[title not known]	[title not known]	[title not known]	[title not known]	[title not known]	[title not known]	[title not known]	Landscape	The River Stour at Dedham	Waterfall at Keswick	[title not known]	[title not known]	[title not known]	[title not known]	[title not known]	[title not known]	[title not known]	[title not known]	[title not known]	[title not known] Verso: Sketches of Heads	[title not known]	[title not known] Verso: Sketch	[title not known]	[title not known]	[title not known]	[title not known]	[title not known]	[title not known]	[title not known]	Landscape, with Jacques and the Wounded Stag"
30,Sir William Beechey,Male,1753–1839,Portrait of Sir Francis Ford's Children Giving a Coin to a Beggar Boy	Alexander P. Johnstone	Thomas Law Hodges	Joseph Nollekens
32,John Zephaniah Bell,Male,1794–1883,Cardinal Bourchier Urges the Widow of Edward IV to Let her Son out of Sanctuary
33,William Bennett,Male,1811–1871,In Richmond Park
34,John Bettes,Male,active 1531–1570,A Man in a Black Cap
36,Edward Bird,Male,1762–1819,The Raffle for the Watch
37,Benjamin Blake,Male,c.1790–c.1830,Still Life
38,Robert Blake,Male,1762–1787,"Two Drawings of Frightened Figures, Probably for 'The Approach of Doom'	Six Drawings of Figures with Outstretched Arms	A Figure Bowing before a Seated Old Man with his Arm Outstretched in Benediction. Verso: Indecipherable Sketch	The Preaching of Warning. Verso: An Old Man Enthroned between Two Groups of Figures, by ?William Blake"
39,William Blake,Male,1757–1827,"An Allegory of the Bible. Verso: The Shins of an Écorché Male Figure	Winter	Thenot and Colinet Converse Seated between Two Trees	'Nor Fox, nor Wolf, nor Rat among our Sheep'	Thenot, with Colinet Waving his Arms in Sorrow	'A Rolling Stone is ever Bare of Moss'	The Blighted Corn	'And Unyok'd Heifers, Loitering Homewards, Low'	Sabrina's Silvery Flood	'With Songs the Jovial Hinds Return from Plow'	Thenot Remonstrates with Colinet	'For him Our Yearly Wakes and Feasts We Hold'	Thenot and Colinet Folding their Flocks together at Sunset	Colinet's Fond Desire Strange Lands to Know	Colinet with his Shepherd's Pipe, Mocked by Two Boys	Thenot and Colinet at Supper	Thenot and Colinet	Thenot Remonstrates with Colinet: Lightfoot in the Distance	Colinet Rests by a Stream at Night	The Temple of Mirth, after Thomas Stothard	Judas Betrays Him	The Fall of Rosamond (after Thomas Stothard)	King John Absolved by Pandulph (after Henry Fuseli)	Alfred and the Neat-Herd's Wife (after Henry Fuseli)	The Hiding of Moses	Queen Elizabeth and Essex (after Henry Fuseli)	Wat Tyler and the Tax-Gatherer (after Henry Fuseli)	First Book of Urizen pl. 15	First Book of Urizen pl. 21	First Book of Urizen pl. 17	Detailed Drawings for 'A Figure Standing in a Gothic Apse'	The Circle of the Lustful: Francesca da Rimini ('The Whirlwind of Lovers')	The Six-Footed Serpent Attacking Agnolo Brunelleschi	Ciampolo the Barrator Tormented by the Devils	The Serpent Attacking Buoso Donati	The Baffled Devils Fighting	The Pit of Disease: The Falsifiers	Dante Striking Against Bocca degli Abati	Satan Exulting over Eve	Every Man also Gave him a Piece of Money. Verso: God the Father with Attendant Angels	Los and Orc	First Book of Urizen pl. 10	First Book of Urizen pl. 11	First Book of Urizen pl. 6	The Marriage of Heaven and Hell pl. 16	The Book of Thel pl. 6	A Vision: The Inspiration of the Poet (Elisha in the Chamber on the Wall)	Moses Indignant at the Golden Calf	Title-Page of 'The Book of Job'	The Serpent Attacking Buoso Donati	Preliminary Sketch for 'Christ Girding Himself with Strength'. Verso: Standing Figure with One Arm Raised	The Vision of Eliphaz	Job's Sacrifice	'Songs of Innocence and of Experience': 'Spring'	Job's Sons and Daughters Overwhelmed by Satan	Satan Going Forth from the Presence of the Lord, and Job's Charity	St Christopher, Copy from an Engraving? Verso:Part of a Face: Copy from a Plaster Cast: a Daughter of Niobe?	When the Morning Stars Sang Together	Lower Half of a Woman Playing a Harp. Verso: Seraphim and Other Drawings	The Circle of the Lustful: Francesca da Rimini ('The Whirlwind of Lovers')	'Songs of Innocence': Title-Page	Sketch for 'Tiriel Supporting the Dying Myratana'. Verso: Sketch for 'Tiriel Supporting the Dying Myratana'	'Europe': Fragment of Pages 3 and 4	Job's Comforters	Composition Sketch, Possibly a Subject from Dante. Verso: A Man Standing over a Figure Reclining on a Bed	Job and his Family	The Crucifixion	The Wrath of Elihu	The Vision of Christ	Composition Sketch for 'The Fall of the Rebel Angels'? Verso: Standing Figure with Flaming Hair	The Baffled Devils Fighting	Job and his Daughters	Songs of Innocence and of Experience: Infant Sorrow	Satan before the Throne of God	Job's Evil Dreams	The Pit of Disease: The Falsifiers	Two Figures in a Decorative Border	Composition Sketch. Verso: Standing Figure Holding a Spear	The Lord Answering Job out of the Whirlwind	The Messengers tell Job of his Misfortunes	Job Rebuked by his Friends	Job and his Family Restored to Prosperity	The Six-Footed Serpent Attacking Agnolo Brunelleschi	'Songs of Innocence and of Experience': 'Infant Sorrow'	Dante Striking against Bocca Degli Abati	The Fall of Satan	Landscape near Felpham	Ciampolo the Barrator Tormented by the Devils	Behemoth and Leviathan	Sketch for 'The Four and Twenty Elders Casting their Crowns before the Divine Throne'. Verso: Standing Figure with Arms at his Side	Satan Smiting Job with Sore Boils	Job's Despair	'Nor Fox, nor Wolf, nor Rat among our Sheep'	Thenot and Colinet Folding their Flocks together at Sunset	Thenot Remonstrates with Colinet; Lightfoot in the Distance	'And Unyok'd Heifers, Loitering Homeward, Low'	Frontispiece: Thenot and Colinet	Sabrina's Silvery Flood	Thenot, with Colinet Waving his Arms in Sorrow	'A Rolling Stone is ever Bare of Moss'	Thenot and Colinet Converse Seated between Two Trees	'For him Our Yearly Wakes and Feasts We Hold'	The Blighted Corn	Thenot and Colinet at Supper	'With Songs the Jovial Hinds Return from Plow'	Colinet with his Shepherd's Pipe, Mocked by Two Boys	Colinet's 'Fond Desire Strange Lands to Know'	Thenot Remonstrates with Colinet	Colinet Rests by a Stream at Night	The Bard, from Gray	Newton	Pity	Nebuchadnezzar	The House of Death	Elohim Creating Adam	Lamech and his Two Wives	The Night of Enitharmon's Joy (formerly called 'Hecate')	God Judging Adam	The Good and Evil Angels	The Spiritual Form of Pitt Guiding Behemoth	The Body of Christ Borne to the Tomb	Bathsheba at the Bath	The Spiritual Form of Nelson Guiding Leviathan	Plate 2 of 'Urizen': 'Teach these Souls to Fly'	Age Teaching Youth	The Good Farmer, Probably the Parable of the Wheat and the Tares. Verso: Rough Sketch of Two or Three Figures in a Landscape	Lear and Cordelia in Prison	The Head of the Ghost of a Flea. Verso: A Profile and a Reduced Drawing of Milton's First Wife	The House of Death	The Blasphemer	Job, his Wife and his Friends: The Complaint of Job. Verso: Job's Wife and Eight Other Sketches	David Delivered out of Many Waters	Epitome of James Hervey's 'Meditations among the Tombs'	Satan Smiting Job with Sore Boils	Dante and Virgil Penetrating the Forest	The Rock Sculptured with the Recovery of the Ark and the Annunciation	The Inscription over the Gate	Dante in the Empyrean, Drinking at the River of Light	The Devils, with Dante and Virgil by the Side of the Pool	The Pit of Disease: The Falsifiers	The Serpent Attacking Buoso Donati. Verso: A Man with a Transparent Hood (?) over his Head	Frontispiece to 'Visions of the Daughters of Albion'	The Wood of the Self-Murderers: The Harpies and the Suicides	Beatrice Addressing Dante from the Car	The Hypocrites with Caiaphas. Verso: Sketch of a Stooping Figure	Virgil Girding Dante's Brow with a Rush	The Primaeval Giants Sunk in the Soil	Dante and Virgil Approaching the Angel Who Guards the Entrance of Purgatory	Cerberus	The Simoniac Pope	The Ascent of the Mountain of Purgatory	Homer and the Ancient Poets	The Laborious Passage along the Rocks	Plate 4 of 'Visions of the Daughters of Albion'	Plutus	The Punishment of the Thieves	The Soul Hovering over the Body Reluctantly Parting with Life	Christ Blessing the Little Children	The River of Life	The Agony in the Garden	The Crucifixion: 'Behold Thy Mother'	The Ghost of a Flea	The Penance of Jane Shore in St Paul's Church	The Entombment	The Death of the Virgin	Satan in his Original Glory: 'Thou wast Perfect till Iniquity was Found in Thee'	Christ Appearing to the Apostles after the Resurrection	The Body of Abel Found by Adam and Eve	The Four and Twenty Elders Casting their Crowns before the Divine Throne	Oberon, Titania and Puck with Fairies Dancing"
40,Sir Joseph Edgar Boehm,Male,1834–1890,Mrs Wynn Ellis
41,Richard Parkes Bonington,Male,1802–1828,"Three Parrots	The Grand Canal, Venice	French Coast with Fishermen	A Scene on the French Coast	Verona, Piazza dell'Erbe	View of the Piazzetta near the Square of St Mark, Venice	The Pont des Arts, Paris	Venice: Ducal Palace with a Religious Procession	A Distant View of St-Omer"
42,Peter Borseller,Male,active 1664–1687,Portrait of a Lady
43,Samuel Bough,Male,1822–1878,"Holmwood, Dorking"
44,George Henry Boughton,Male,1833–1905,Weeding the Pavement
45,Edward Bower,Male,active 1629–c.1667,Sir John Drake
46,Henry Alexander Bowler,Male,1824–1903,The Doubt: 'Can these Dry Bones Live?'
47,Sir William Boxall,Male,1800–1879,Geraldine
48,George Price Boyce,Male,1826–1897,"A Girl's Portrait	Blackfriars Bridge: Moonlight Sketch	A Girl by a Beech Tree in a Landscape	Night Sketch of the Thames near Hungerford Bridge	Landscape at Wotton, Surrey: Autumn"
49,Thomas Shotter Boys,Male,1803–1874,The Seine and Palace of the Tuileries
50,Hercules Brabazon Brabazon,Male,1821–1906,"From Bordighera; a Seascape	S. Giorgio and the Salute	Olive Trees at Corfu	The Rhone Valley, a Storm	Fondamenta della Salute, Venice	Souvenir of de Hoogh	Murcia	Houses at Tivoli	Les Rochers Rouges	Roses	The Grand Canal, Venice	The Pink Palace	Mountain Scene	Scene in Venice	Venice: the Salute, Campanile and Doge's Palace from the Giudecca	The Bay	Canal in Venice	Landscape in the Campagna (?)	Lake Scene	Canal in Venice	Sunset (after Turner)	Como	Monaco	Sunset: Mountain and Lake	Side Canal, Venice	A Grey Day, Venice	Akaba"
51,Frank Bramley,Male,1857–1915,Primrose Day	A Hopeless Dawn
53,John Brett,Male,1831–1902,Florence from Bellosguardo	Glacier of Rosenlaui	Britannia's Realm	The British Channel Seen from the Dorsetshire Cliffs	Lady with a Dove: Madame Loeser
54,Frederick Lee Bridell,Male,1831–1863,"The Woods of Sweet Chestnut above Varenna, Lake Como"
55,Henry Perronet Briggs,Male,?1791–1844,The First Interview between the Spaniards and the Peruvians	Romeo and Juliet - Act II Scene 5 ('Juliet and her Nurse')
56,British School 16th century,,1500–1599,"A Young Lady Aged 21, Possibly Helena Snakenborg, Later Marchioness of Northampton	Sir Henry Unton	An Allegory of Man	Portrait of a Lady"
