artwork.id,artwork.title,year,artwork.medium,movement.era.id,movement.era.name,movement.id,movement.name
63318,The Burning of Rome,1834,"Gouache, graphite and watercolour on paper",350,19th century,364,Romanticism
33347,Interior of a Cottage,1801,"Oil, watercolour and ink on paper",290,18th century,345,Picturesque
33351,Stormy Landscape with Figures,1799,Oil and graphite on paper,290,18th century,349,Sublime
33307,The River Thames with Isleworth Ferry,1805,Graphite and watercolour on paper,290,18th century,345,Picturesque
63757,Sailing Boat in a Rough Sea,1840,,350,19th century,364,Romanticism
63756,Red Sky over a Beach,1840,,350,19th century,364,Romanticism
63760,Shore Scene with Waves and Breakwater,1835,Oil on board,350,19th century,364,Romanticism
63770,Figures on a Beach,1840,Oil on paper,350,19th century,364,Romanticism
63762,Ship in a Storm,1840,Oil on board,350,19th century,364,Romanticism
63759,Sunset Seen from a Beach with Breakwater,1840,Oil on board,350,19th century,364,Romanticism
63768,Waves Breaking on a Beach,1840,Oil on board,350,19th century,364,Romanticism
63769,Coast Scene,1840,Oil on board,350,19th century,364,Romanticism
63755,Riders on a Beach,1835,Oil on board,350,19th century,364,Romanticism
63761,Two Figures on a Beach with a Boat,1840,Oil on board,350,19th century,364,Romanticism
63758,Coast Scene with Buildings,1840,Oil on board,350,19th century,364,Romanticism
32292,"The Battle of Fort Rock, Val d'Aouste, Piedmont, 1796",1815,Gouache and watercolour on paper,290,18th century,349,Sublime
35512,Little Devil's Bridge,1806,Graphite and watercolour on paper,290,18th century,349,Sublime
35550,The Source of the Arveron,1812,Watercolour on paper,290,18th century,349,Sublime
35544,Solitude ('The Reading Magdalene'),1808,Watercolour on paper,350,19th century,364,Romanticism
31547,Study of a Pumpkin Plant against a Rocky Background,1740,"Chalk, pastel and watercolour on paper",289,16th and 17th century,401,"French-trained, working in Britain"
31557,The Ford,1805,"Gouache, graphite and watercolour on paper",290,18th century,345,Picturesque
63177,The Lovers,1830,Gouache and watercolour on paper,350,19th century,364,Romanticism
23804,"Invitation Card for the Feast of St Luke, with a Sketch of the Pediment of a Greek Temple",1718,"Graphite, chalk and ink on paper",289,16th and 17th century,398,Baroque
23063,Forest of Fontainebleau: A Chestnut Tree,NA,Graphite and watercolour on paper,350,19th century,363,Pre-Raphaelite
23072,A Rocky Coast,NA,"Graphite, watercolour and gouache on paper",350,19th century,363,Pre-Raphaelite
23077,Shore Scene with Groups of Figures,1865,"Graphite, watercolour and gouache on paper",350,19th century,363,Pre-Raphaelite
23070,Two Men Scything,1861,"Graphite, watercolour and gouache on paper",350,19th century,363,Pre-Raphaelite
23067,A Wide Landscape,NA,"Graphite, watercolour and gouache on paper",350,19th century,363,Pre-Raphaelite
23082,"Manzanares, Madrid",1866,Graphite and watercolour on paper,350,19th century,363,Pre-Raphaelite
23061,Forest of Fontainebleau: A Peasant outside a Church under Trees,NA,"Graphite, watercolour, gouache and ink on paper",350,19th century,363,Pre-Raphaelite
23078,Inundation at St Marks,1863,Graphite and watercolour on paper,350,19th century,363,Pre-Raphaelite
23079,San Giorgio from the Ducal Palace,1863,"Graphite, watercolour and gouache on paper",350,19th century,363,Pre-Raphaelite
23083,"The Village Cross, Spain",1866,Watercolour and gouache on paper,350,19th century,363,Pre-Raphaelite
23288,A Group Surrounding a Seated Man,NA,Ink on paper,350,19th century,8064,Victorian/Genre
23071,Tintagel,1861,"Graphite, watercolour and gouache on paper",350,19th century,363,Pre-Raphaelite
23068,A Girl Seated on Rocks in a Wood,NA,Graphite and watercolour on paper,350,19th century,363,Pre-Raphaelite
23092,Tintagel,1862,Watercolour on paper,350,19th century,363,Pre-Raphaelite
23069,A Shepherd on the Downs,NA,"Graphite, watercolour and gouache on paper",350,19th century,363,Pre-Raphaelite
23076,"A House in Spain, with a ?Minaret",1865,Watercolour on paper,350,19th century,363,Pre-Raphaelite
23287,Measuring Heights,NA,Ink on paper,350,19th century,8064,Victorian/Genre
23084,A Syrian Girl at a Balcony overlooking a Bay,NA,"Graphite, watercolour and gouache on paper",350,19th century,363,Pre-Raphaelite
23094,"Suggestive Study, Paradise (Head of a Girl and a Bird of Paradise)",1864,Watercolour and gouache on paper,350,19th century,363,Pre-Raphaelite
23073,Tintagel,1861,Graphite and watercolour on paper,350,19th century,363,Pre-Raphaelite
23096,Coast Scene with Fishing Boats and Rainbows,NA,Oil paint on paper,350,19th century,363,Pre-Raphaelite
23086,"Venice, Nocturne. San Giorgio Maggiore",NA,"Graphite, watercolour and gouache on paper",350,19th century,363,Pre-Raphaelite
23075,Venice: A Girl in a Doorway,1862,"Graphite, watercolour and gouache on paper",350,19th century,363,Pre-Raphaelite
23290,"Playground Scene, Children Playing and Wrestling",1826,Ink on paper,350,19th century,8064,Victorian/Genre
23080,Arabian Merchants,NA,Watercolour and gouache on paper,350,19th century,363,Pre-Raphaelite
23081,Valencia. The Well,NA,"Graphite, watercolour and gouache on paper",350,19th century,363,Pre-Raphaelite
23093,"A Young Palm, Valentia",1865,Graphite and watercolour on paper,350,19th century,363,Pre-Raphaelite
23087,"Recollection, Strid, Barden Tower",1866,Oil paint on paper,350,19th century,363,Pre-Raphaelite
23088,Recollection. Barden Fells,1866,Oil paint on paper,350,19th century,363,Pre-Raphaelite
23064,Fishermen at Sunset,1859,"Graphite, watercolour and gouache on paper",350,19th century,363,Pre-Raphaelite
23065,Lugano (a Pillar in the Foreground),1861,"Graphite, watercolour and gouache on paper",350,19th century,363,Pre-Raphaelite
23074,A Man Digging on the Shore,1862,"Graphite, watercolour and gouache on paper",350,19th century,363,Pre-Raphaelite
23091,"Whilst Waiting for the Train, Swiss Alps",NA,Graphite and watercolour on paper,350,19th century,363,Pre-Raphaelite
23060,Fairy Dell. A Man and a Dog in a Sunlit Clearing,NA,"Graphite, watercolour and gouache on paper",350,19th century,363,Pre-Raphaelite
23066,A Sunlit Wood,1861,Graphite and watercolour on paper,350,19th century,363,Pre-Raphaelite
23095,A Rocky Coast,NA,Graphite and watercolour on paper,350,19th century,363,Pre-Raphaelite
23090,Devonshire Coast,1855,Graphite and watercolour on paper,350,19th century,363,Pre-Raphaelite
23062,Forest of Fontainebleau: A Path in the Woods,NA,Graphite and watercolour on paper,350,19th century,363,Pre-Raphaelite
23097,Trenana Cornwall: An Indoor Scene,1862,Ink on paper,350,19th century,363,Pre-Raphaelite
23289,Women and Children Listening to a Seated Man,1826,Ink on paper,350,19th century,8064,Victorian/Genre
23085,A Procession of Peasants among Trees,NA,Graphite and watercolour on paper,350,19th century,363,Pre-Raphaelite
10885,Armoured Helmet,1956,Oil paint on hardboard,8,20th century 1900-1945,16668,Angry Penguins
10886,In the Cave,1957,Polyvinyl acetate paint on hardboard,8,20th century 1900-1945,16668,Angry Penguins
13289,Portrait of a Man in a Slashed Black Doublet,1605,Oil paint on oak,289,16th and 17th century,412,Early Stuart
13289,Portrait of a Man in a Slashed Black Doublet,1605,Oil paint on oak,289,16th and 17th century,414,Tudor
8905,Figure,1915,Plaster,8,20th century 1900-1945,299,Cubism
4038,Open Window at Saint-Jeannet,1926,Gouache on paper,8,20th century 1900-1945,306,Fauvism
3706,Woman in a Tub,1883,Pastel on paper,350,19th century,357,Impressionism
2302,Midnight Sun II,1982,Oil paint on canvas,415,20th century post-1945,431,Neo-Expressionism
2302,Midnight Sun II,1982,Oil paint on canvas,415,20th century post-1945,12069,Transavanguardia
506,Mountain Landscape with Dancing Shepherd,1650,Oil paint on canvas,289,16th and 17th century,399,Civil War and Commonwealth
13058,Ledger,1982,"Enamelac paint on fibreglass, aluminium and wood",415,20th century post-1945,430,Minimalism
12374,Nude on a Couch,1915,Oil paint on canvas,350,19th century,357,Impressionism
428,Five Sunsets in One Hour,1978,Burnt lines on board and transfer lettering on card,415,20th century post-1945,421,Conceptual Art
12375,Peaches and Almonds,1901,Oil paint on canvas,350,19th century,357,Impressionism
4493,Nature,1959,Bronze,415,20th century post-1945,4246,Spazialismo
10884,Carcase in Swamp,1955,Oil paint on hardboard,8,20th century 1900-1945,16668,Angry Penguins
4039,The Kessler Family on Horseback,1931,Gouache on paper,8,20th century 1900-1945,306,Fauvism
8934,Guitar Player in Armchair,1922,Plaster,8,20th century 1900-1945,299,Cubism
5533,The Artist's Wife,1913,Oil paint on canvas,8,20th century 1900-1945,297,Camden Town Group
13424,La Hollandaise,1906,Oil paint on canvas,8,20th century 1900-1945,297,Camden Town Group
4037,The Wheatfield,1929,Oil paint on canvas,8,20th century 1900-1945,306,Fauvism
26735,Z 105 Portals of Houses,1918,Chalk on paper,8,20th century 1900-1945,308,German Expressionism
92160,Untitled,2003,Gouache and ink on paper,415,20th century post-1945,16666,Abject art
84302,Insertions into Ideological Circuits: Coca-Cola Project,1970,"3 glass bottles, 3 metal caps, liquid and adhesive labels with text",415,20th century post-1945,421,Conceptual Art
84302,Insertions into Ideological Circuits: Coca-Cola Project,1970,"3 glass bottles, 3 metal caps, liquid and adhesive labels with text",415,20th century post-1945,17894,Neo-Concretism
92168,Untitled,1998,"Ink and photograph, black and white, on paper",415,20th century post-1945,16666,Abject art
9351,Black Relief,1957,"Wood, hardboard and plastic",415,20th century post-1945,419,British Constructivism
597,Danger of Death,1954,Graphite on paper,8,20th century 1900-1945,320,Surrealism
4979,Perseus and Andromeda,1936,Printed papers on paper,8,20th century 1900-1945,1688,British Surrealism
595,According to the Laws of Chance,1933,Sugar paper on plyboard,8,20th century 1900-1945,300,Dada
595,According to the Laws of Chance,1933,Sugar paper on plyboard,8,20th century 1900-1945,320,Surrealism
16592,"Hip, Hip, Hoorah!",1949,Oil paint on canvas,415,20th century post-1945,420,Cobra
16598,Beach with Starfish,1933,"Gouache, printed paper and ink on paper",8,20th century 1900-1945,319,Seven and Five
6854,The Earth is an Angel,1987,"Brass, zinc and plywood",415,20th century post-1945,1682,New British Sculpture
1384,A Girl's Portrait,1868,Watercolour on paper,350,19th century,363,Pre-Raphaelite
8155,Portrait of John Banckes,1676,Oil paint on canvas,289,16th and 17th century,413,Later Stuart
8155,Portrait of John Banckes,1676,Oil paint on canvas,289,16th and 17th century,406,"Netherlands-trained, working in Britain"
16467,English Heritage - Humpty Fucking Dumpty,1987,"Wood, metal and paper",415,20th century post-1945,1682,New British Sculpture
1383,Blackfriars Bridge: Moonlight Sketch,1863,Watercolour on paper,350,19th century,363,Pre-Raphaelite
5538,Untitled (for Francis),1985,"Lead, fibreglass and plaster",415,20th century post-1945,1682,New British Sculpture
596,Impish Fruit,1943,Walnut,8,20th century 1900-1945,320,Surrealism
16604,Ten Days Walking and Sleeping on Natural Ground,1986,3 screenprints on paper on 3 panels,415,20th century post-1945,421,Conceptual Art
