artwork.id	artwork.title	movement.era.id	movement.era.name	movement.id	movement.name
1695	Study of a Woman's Head	350	19th century	363	Pre-Raphaelite
1696	Study of a Sleeping Woman's Head, possibly for 'The Rose Bower' in the 'Briar Rose' Series	350	19th century	363	Pre-Raphaelite
1697	Study of a Man's Head	350	19th century	363	Pre-Raphaelite
1698	Study of a Girl's Head	350	19th century	363	Pre-Raphaelite
1699	Study of a Standing Woman for 'The Passing of Venus'	350	19th century	363	Pre-Raphaelite
1700	Study of a Seated Woman for 'The Passing of Venus'	350	19th century	363	Pre-Raphaelite
1701	Study of Seated Figure for 'The Garden Court' in the 'Briar Rose' Series	350	19th century	363	Pre-Raphaelite
1702	Study of Seated Figure for 'The Garden Court' in the 'Briar Rose' Series	350	19th century	363	Pre-Raphaelite
1703	Figure Study for 'The Rose Bower' (Briar Rose Series). Verso: Study of the Head of Merlin for 'The Beguiling of Merlin'	350	19th century	363	Pre-Raphaelite
1704	Three Studies for 'The Beguiling of Merlin'	350	19th century	363	Pre-Raphaelite
1705	Studies of a Sleeve	350	19th century	363	Pre-Raphaelite
1706	Kneeling Woman	350	19th century	363	Pre-Raphaelite
1707	Stooping Woman	350	19th century	363	Pre-Raphaelite
1708	Study of a Female Head for 'The Hours'	350	19th century	363	Pre-Raphaelite
1709	Female Head	350	19th century	363	Pre-Raphaelite
1710	Ruth and Boaz	350	19th century	363	Pre-Raphaelite
1711	The Finding of Moses	350	19th century	363	Pre-Raphaelite
1712	St Alban	350	19th century	363	Pre-Raphaelite
1714	St Oswald	350	19th century	363	Pre-Raphaelite
1715	St Boniface	350	19th century	363	Pre-Raphaelite
1716	Study of the Head of Tristram for 'The Madness of Sir Tristram'	350	19th century	363	Pre-Raphaelite
1717	Two Studies of Tristram for 'The Madness of Sir Tristram'	350	19th century	363	Pre-Raphaelite
1718	Roundel with the Head of a Warrior	350	19th century	363	Pre-Raphaelite
1719	Roundel with the Head of a Woman	350	19th century	363	Pre-Raphaelite
1720	Roundel with the Head of a Woman	350	19th century	363	Pre-Raphaelite
1721	Composition Study for 'The Merciful Knight'. Verso: Study for a Nativity	350	19th century	363	Pre-Raphaelite
20228	Composition Study for 'The Merciful Knight'. Verso: Composition Study for 'St Valentine's Day'	350	19th century	363	Pre-Raphaelite
1722	Composition Study for 'The Merciful Knight'	350	19th century	363	Pre-Raphaelite
1723	Nude Study of Knight for 'The Merciful Knight'	350	19th century	363	Pre-Raphaelite
1724	Nude Study of the Knight for 'The Merciful Knight'	350	19th century	363	Pre-Raphaelite
