artwork.id,artwork.title,afinn_111_score,afinn_111_comparative
58759,Innsbruck: View from its Outskirts,0,0
58732,Mountain Scenery and Buildings,0,0
58805,?Verona,0,0
58747,Mountain Scenery and Buildings,0,0
58737,Mountain Scenery and Buildings,0,0
58764,Mountain Scenery and Buildings,0,0
58739,Mountain Scenery and Buildings,0,0
58771,Buildings (Mostly at Verona) and Mountains,0,0
58742,Mountain Scenery and Buildings,0,0
58780,"Verona, with S. Zeno Maggiore",0,0
58790,"Verona: Piazza delle Erbe, Looking towards the Torre Civica",0,0
58743,Mountain Scenery and Buildings,0,0
58736,Mountain Scenery and Buildings,0,0
58792,"Verona: Piazza dei Signori, Looking towards the Tower of the Scaligeri and Palazzo del Consiglio",0,0
58761,Innsbruck: The Stadtturm and Hofburg from the Hofgarten,0,0
58808,Mountains and Buildings,0,0
58778,(1) Verona: The Arena and Adjacent Buildings; (2) Buildings,0,0
58786,(1) ?Verona; (2)-(5) Padua and Nearby Hills,0,0
58745,Mountain Scenery and Buildings,0,0
58820,Vienna: The Cathedral from the Churhausgasse,0,0
58776,Mountain Scenery and Buildings,0,0
58738,Mountain Scenery and Buildings,0,0
58800,Venice,0,0
58798,Mountain Scenery and Buildings,0,0
58779,Verona: The Arena,0,0
58785,Verona,0,0
58812,Mountains and Buildings,0,0
58740,Mountain Scenery and Buildings,0,0
58772,Buildings (Mostly at Verona) and Mountains,0,0
58769,Verona: Ponte Scaligero,0,0
58813,Mountains and Buildings,0,0
58731,Mountain Scenery and Buildings,0,0
58752,Mountain Scenery and Buildings,0,0
58782,(1) Bolzano; (2) Verona: View down Piazza delle Erbe to Piazza dei Signori,0,0
58801,Venice: The Punta della Dogana,0,0
58806,"Mountains, Valley and Town (?Verona)",0,0
58744,Mountain Scenery and Buildings,0,0
58763,"Verona: Four Sketches of the Scaliger Tombs, Including Those of Cansignorio della Scala and Giovanni della Scala",0,0
58821,Buildings; [inscriptions by Turner],0,0
58787,?Verona,0,0
58817,Vienna: The Cathedral,0,0
58788,?Verona,0,0
58770,Buildings (Mostly at Verona) and Mountains,0,0
58794,Mountain Scenery and Buildings,0,0
58758,Innsbruck: View from its Outskirts,0,0
58749,Venice,0,0
58746,Mountain Scenery and Buildings,0,0
58809,Mountains and Buildings,0,0
58796,Female Figure,0,0
58734,Mountain Scenery and Buildings,0,0
58773,(1) Buildings; (2) Vienna: St Stephen's Cathedral by Night,0,0
58810,Mountains and Buildings,0,0
58756,"Innsbruck: View along the Maria-Theresien-Strasse to the Town Hall and Stadtturm, with the Annasäule on the Right",0,0
58767,Mountain Scenery and Buildings,0,0
58823,"Castles, Etc., on Rock beside Mountain Pass; Also Sketches of Towers, Etc.",0,0
58793,Verona,0,0
58822,"Castles, Etc., on Rock beside Mountain Pass; Also Sketches of Towers, Etc.",0,0
58797,Mountain Scenery and Buildings,0,0
58818,Landscape; Two Figures,0,0
58733,Mountain Scenery and Buildings,0,0
58795,Mountain Scenery and Buildings,0,0
58766,Mountain Scenery and Buildings,0,0
58757,Innsbruck: View of the City from across the Inn,0,0
58804,Verona: Two Views of the Ponte Scaligero,0,0
58755,(1) Innsbruck: View of the City from across the Inn; (2) Mountains at Innsbruck,0,0
58819,Mountains and Buildings,0,0
58814,Mountains and Buildings,0,0
58789,?Verona,0,0
58762,"Verona; Four Sketches of the Scaliger Tombs, Including Those of Cansignorio della Scala and Giovanni della Scala",0,0
58735,Mountain Scenery and Buildings,0,0
58791,"Verona: Piazza delle Erbe, Looking towards the Torre Civica; Sketches of Verona",0,0
58751,Mountain Scenery and Buildings,0,0
58799,Venice,0,0
58777,Mountain Scenery and Buildings,0,0
58802,Venice: Santa Maria della Salute from the Hotel Europa,0,0
58781,"Mountain Scenery, Including a View of Ala",0,0
58748,Mountain Scenery and Buildings,0,0
58783,"Verona: Ponte Pietra and its Gate Tower, Looking up the Adige",0,0
58765,Mountain Scenery and Buildings,0,0
58774,Innsbruck: View down the Inn to the Cathedral and Stadtturm,0,0
58775,?Innsbruck,0,0
58811,Mountains and Buildings,0,0
58741,Mountain Scenery and Buildings,0,0
58754,"Innsbruck: View along the Maria-Theresien-Strasse to the Town Hall, Goldenes Dachl, Stadtturm and Cathedral",0,0
58760,Innsbruck: View from its Outskirts,0,0
58750,Mountain Scenery and Buildings,0,0
58768,Mountain Scenery and Buildings,0,0
58753,Innsbruck: View along the Marie-Theresien-Strasse to the Triumphpforte,0,0
58784,"Verona: Castel S. Pietro and Ponte Pietra, Looking down the Adige",0,0
58807,Venice,0,0
60278,Lucerne,0,0
60243,Views on Rhine,0,0
60247,Views on Rhine,0,0
60231,"The Moselle Bridge, at Coblenz",0,0
60229,Views on Rhine,0,0
60242,Views on Rhine,0,0
60184,Steamer in Front of Hotel,0,0
60265,River Banks. Oppenheim,0,0
60246,Views on Rhine. Bornhofen [Turner],0,0
60268,Sketches at Ostend and Berne [Turner],0,0
60249,Views on Rhine. (?Braubach),0,0
60273,Mountains,0,0
60225,Remagen [Turner],0,0
60261,Views on Sand at Ostend [Turner],0,0
60269,Unkel [Turner],0,0
60259,"Views on Rhine. Hammerstein and Coblenz, Etc.",0,0
60250,"Views on Rhine. Rintz [Turner]. (?Rhens, near Braubach)",0,0
60258,Views on Rhine. Hammerstein and Coblenz [Turner],0,0
60276,"Buildings, with Distant Alps",0,0
60232,Rolandseck and Egisheim [Turner],0,0
