artist.id,artist.fc,first.movement.era.id,first.movement.era.name,first.movement.id,first.movement.name,second.movement.era.id,second.movement.era.name,second.movement.id,second.movement.name
2103,Paule Vézelay,8,20th century 1900-1945,16667,Abstraction-Création,8,20th century 1900-1945,320,Surrealism
2103,Paule Vézelay,8,20th century 1900-1945,320,Surrealism,8,20th century 1900-1945,298,Constructivism
570,Antonio Verrio,289,16th and 17th century,398,Baroque,289,16th and 17th century,403,"Italian-trained, working in Britain"
565,Sir Anthony Van Dyck,289,16th and 17th century,400,Court,289,16th and 17th century,398,Baroque
565,Sir Anthony Van Dyck,289,16th and 17th century,398,Baroque,289,16th and 17th century,406,"Netherlands-trained, working in Britain"
565,Sir Anthony Van Dyck,289,16th and 17th century,406,"Netherlands-trained, working in Britain",289,16th and 17th century,412,Early Stuart
2094,Georges Vantongerloo,8,20th century 1900-1945,1686,De Stijl,8,20th century 1900-1945,16667,Abstraction-Création
2094,Georges Vantongerloo,8,20th century 1900-1945,16667,Abstraction-Création,8,20th century 1900-1945,6277,Neo-Plasticism
2094,Georges Vantongerloo,8,20th century 1900-1945,6277,Neo-Plasticism,8,20th century 1900-1945,298,Constructivism
567,Paul Van Somer,289,16th and 17th century,400,Court,289,16th and 17th century,406,"Netherlands-trained, working in Britain"
567,Paul Van Somer,289,16th and 17th century,406,"Netherlands-trained, working in Britain",289,16th and 17th century,412,Early Stuart
2096,Keith Vaughan,8,20th century 1900-1945,312,Neo-Romanticism,8,20th century 1900-1945,9312,London Group
569,John Varley,290,18th century,345,Picturesque,350,19th century,364,Romanticism
1518,Jacques Lipchitz,8,20th century 1900-1945,1664,Purism,8,20th century 1900-1945,299,Cubism
331,Henry Herbert La Thangue,350,19th century,365,Rural Naturalism,350,19th century,6196,British Impressionism
331,Henry Herbert La Thangue,350,19th century,6196,British Impressionism,350,19th century,8064,Victorian/Genre
331,Henry Herbert La Thangue,350,19th century,8064,Victorian/Genre,350,19th century,360,Newlyn School
1467,Peter Lanyon,8,20th century 1900-1945,298,Constructivism,415,20th century post-1945,441,St Ives School
347,George Dunlop Leslie,350,19th century,366,St John's Wood Clique,350,19th century,8064,Victorian/Genre
1494,Julio Le Parc,415,20th century post-1945,435,Optical Art,415,20th century post-1945,12072,Kinetic Art
351,John Linnell,290,18th century,345,Picturesque,350,19th century,368,Shoreham / The Ancients
351,John Linnell,350,19th century,368,Shoreham / The Ancients,350,19th century,8064,Victorian/Genre
1504,Sol LeWitt,415,20th century post-1945,430,Minimalism,415,20th century post-1945,421,Conceptual Art
342,"Frederic, Lord Leighton",350,19th century,351,Aesthetic Movement,350,19th century,361,New Sculpture
1502,Wyndham Lewis,8,20th century 1900-1945,322,Vorticism,8,20th century 1900-1945,309,Group X
2643,Sarah Lucas,415,20th century post-1945,16666,Abject art,415,20th century post-1945,12081,Feminist Art
2643,Sarah Lucas,415,20th century post-1945,12081,Feminist Art,415,20th century post-1945,11857,Young British Artists (YBA)
343,Sir Peter Lely,289,16th and 17th century,413,Later Stuart,289,16th and 17th century,398,Baroque
343,Sir Peter Lely,289,16th and 17th century,398,Baroque,289,16th and 17th century,399,Civil War and Commonwealth
343,Sir Peter Lely,289,16th and 17th century,399,Civil War and Commonwealth,289,16th and 17th century,406,"Netherlands-trained, working in Britain"
343,Sir Peter Lely,289,16th and 17th century,406,"Netherlands-trained, working in Britain",289,16th and 17th century,411,Restoration
343,Sir Peter Lely,289,16th and 17th century,411,Restoration,289,16th and 17th century,400,Court
1470,John Latham,415,20th century post-1945,421,Conceptual Art,415,20th century post-1945,13001,Artist Placement Group
1525,Richard Long,415,20th century post-1945,429,Land Art,415,20th century post-1945,421,Conceptual Art
1473,Henri Laurens,8,20th century 1900-1945,1685,Return to Order,8,20th century 1900-1945,299,Cubism
1036,Marcel Duchamp,8,20th century 1900-1945,300,Dada,8,20th century 1900-1945,299,Cubism
145,Philip James De Loutherbourg,290,18th century,345,Picturesque,290,18th century,349,Sublime
995,Gunter Demnig,415,20th century post-1945,421,Conceptual Art,415,20th century post-1945,436,Performance Art
995,Gunter Demnig,415,20th century post-1945,436,Performance Art,415,20th century post-1945,12072,Kinetic Art
902,Giorgio de Chirico,8,20th century 1900-1945,320,Surrealism,8,20th century 1900-1945,12734,Metaphysical Art
902,Giorgio de Chirico,8,20th century 1900-1945,12734,Metaphysical Art,8,20th century 1900-1945,16138,Scuola Romana
998,André Derain,8,20th century 1900-1945,306,Fauvism,8,20th century 1900-1945,1685,Return to Order
